date,year,price,price_log,USD_balance_ETF_log,short_term_predicted_price_log,predicted_price,btc_premium_rate
2024-03-23,2024,64859.5,11.079978670920093,23.14564971039531,11.059744239719665,63560.29358870449,0.02023443120042856
2024-03-24,2024,66974.5,11.112067228912752,23.14564971039531,11.059744239719665,63560.29358870449,0.052322989193086755
2024-03-25,2024,70309.5,11.16066220380396,23.147014910422957,11.101989379473245,66302.93074351682,0.0586728243307153
2024-03-26,2024,70092.5,11.157571077284576,23.183375910406664,11.105834456237007,66558.36136235308,0.05173662104756893
2024-03-27,2024,69422.5,11.147966301443798,23.203963641960357,11.065330145777322,63916.328881777365,0.08263615566647609
2024-03-28,2024,70823.5,11.167946145512209,23.21914539688534,11.149372861716538,69520.21563588982,0.018573283795671358
2024-03-29,2024,69746.5,11.152622519213123,23.21914539688534,11.149372861716538,69520.21563588982,0.0032496574965854563
2024-03-30,2024,69793.5,11.15329616120506,23.21914539688534,11.149372861716538,69520.21563588982,0.003923299488521437
2024-03-31,2024,71074.5,11.171483901672085,23.21914539688534,11.149372861716538,69520.21563588982,0.022111039955547085
2024-04-01,2024,69829.5,11.153811835568133,23.21205660045571,11.125919439177617,67908.70028768631,0.02789239639051644
2024-04-02,2024,65882.5,11.095628131355427,23.21533014282101,11.106392121837084,66595.48902232957,-0.010763990481656549
2024-04-03,2024,66205.5,11.100518820045014,23.224677198219343,11.109889063231186,66828.77720437024,-0.009370243186172189
2024-04-04,2024,67847.5,11.125017818600398,23.242018203518022,11.099055261820554,66108.67526757052,0.025962556779843382
2024-04-05,2024,67817.0,11.12456817996223,23.258239613018347,11.134210617260173,68474.08402487749,-0.009642437297943118
2024-04-06,2024,68774.5,11.138588315682743,23.258239613018347,11.134210617260173,68474.08402487749,0.004377698422569409
2024-04-07,2024,69231.5,11.145211240344757,23.258239613018347,11.134210617260173,68474.08402487749,0.01100062308458405
2024-04-08,2024,71715.5,11.18046218174612,23.240341148935144,11.153408026922744,69801.30793667928,0.02705415482337692
2024-04-09,2024,69399.5,11.14763494185799,23.238774434031306,11.137744768679925,68716.50993876458,0.009890173178066064
2024-04-10,2024,70791.5,11.167494215977278,23.248722444255957,11.069994964759902,64215.18349544312,0.09749925121737668
2024-04-11,2024,70202.5,11.159139201915403,23.256001872043296,11.150756096758382,69616.44497282614,0.00838310515702112
2024-04-12,2024,66970.5,11.11200750290579,23.25161504457725,11.096746524322873,65956.22374305113,0.015260978582917417
2024-04-13,2024,64127.5,11.068628568067899,23.25161504457725,11.096746524322873,65956.22374305113,-0.02811795625497382
2024-04-14,2024,65074.0,11.08328036286033,23.25161504457725,11.096746524322873,65956.22374305113,-0.013466161462542203
2024-04-15,2024,63347.5,11.056390721671457,23.24868243257254,11.069994964759902,64215.18349544312,-0.013604243088444434
2024-04-16,2024,63817.0,11.06377489151959,23.244030179473583,11.078602424919715,64770.298768037166,-0.014827533400126214
2024-04-17,2024,61613.5,11.028636281354633,23.23067571249567,11.046140479435401,62701.48931914988,-0.01750419808076842
2024-04-18,2024,63498.5,11.058771562554535,23.230325291375543,11.056687827855367,63366.32373017008,0.002083734699168005
2024-04-19,2024,64231.5,11.070249023552245,23.235179492220936,11.078460060178053,64761.078417527606,-0.008211036625807466
2024-04-20,2024,64679.5,11.07719958329629,23.235179492220936,11.078460060178053,64761.078417527606,-0.0012604768817627843
2024-04-21,2024,65107.5,11.083795028934073,23.235179492220936,11.078460060178053,64761.078417527606,0.005334968756020686
2024-04-22,2024,66824.5,11.109825058749424,23.2402120281667,11.13181915353224,68310.5263856595,-0.021994094782815665
2024-04-23,2024,66471.5,11.104528563352392,23.24275908149227,11.101912799104094,66297.85343501819,0.002615764248298902
2024-04-24,2024,64097.5,11.068160640588118,23.233003301156582,11.07163691800281,64320.70843402692,-0.0034762774146912534
2024-04-25,2024,64680.5,11.077215044026037,23.215156375842092,11.106392121837084,66595.48902232957,-0.02917707781104717
2024-04-26,2024,63900.5,11.065082465061147,23.208214152533046,11.062715644755647,63749.437838083264,0.0023668203055002834
2024-04-27,2024,63374.0,11.05680896167629,23.208214152533046,11.062715644755647,63749.437838083264,-0.0059066830793561564
2024-04-28,2024,63247.0,11.05480297463485,23.208214152533046,11.062715644755647,63749.437838083264,-0.007912670120797216
2024-04-29,2024,63916.5,11.065332822996064,23.203905060877844,11.065330145777322,63916.328881777365,2.677218741808929e-06
2024-04-30,2024,60688.5,11.0135095027558,23.19028851763585,11.026505516057533,61482.35586067557,-0.01299601330173239
2024-05-01,2024,58157.5,10.970910126414198,23.14128454119278,10.993874714188484,59508.51640738929,-0.022964587774286116
2024-05-02,2024,59477.5,10.993353368755999,23.13821486431061,11.009472351426245,60443.985245173775,-0.01611898267024614
2024-05-03,2024,62976.0,11.050508980411925,23.17146527874543,11.057892689159107,63442.71737422399,-0.007383708747182638
2024-05-04,2024,63783.5,11.063249815195128,23.17146527874543,11.057892689159107,63442.71737422399,0.005357126036020787
2024-05-05,2024,63967.5,11.066130420861374,23.17146527874543,11.057892689159107,63442.71737422399,0.00823773170226616
2024-05-06,2024,63572.5,11.059936265883623,23.190050945620715,11.04461195367737,62605.721687950056,0.01532431220625341
2024-05-07,2024,63038.5,11.051500929832425,23.188717798900274,11.04745279850923,62783.82769483455,0.004048131323195037
2024-05-08,2024,61392.0,11.025034812486734,23.189694481738613,11.034240494545411,61959.76455335236,-0.009205682058677667
2024-05-09,2024,63328.5,11.056090743772842,23.188734792841935,11.046735846863953,62738.83085847732,0.009354896908888577
2024-05-10,2024,60896.0,11.016922770095876,23.181511897280586,11.024047348757554,61331.40754808603,-0.007124578661677816
2024-05-11,2024,61031.5,11.01914540331286,23.181511897280586,11.024047348757554,61331.40754808603,-0.004901945444693467
2024-05-12,2024,61479.5,11.026459064893372,23.181511897280586,11.024047348757554,61331.40754808603,0.0024117161358176986
2024-05-13,2024,62903.5,11.049357085019642,23.18714460912554,11.048403617516456,62843.55214062281,0.0009534675031854789
2024-05-14,2024,61828.5,11.032119702190405,23.19566121279734,11.130426691832088,68215.47278855571,-0.09830698964168327
2024-05-15,2024,66217.5,11.100700057443847,23.220907715036276,11.112472481816447,67001.64711094977,-0.011772424372599843
2024-05-16,2024,65529.5,11.090255701911346,23.2418570704298,11.099055261820554,66108.67526757052,-0.008799559909208554
2024-05-17,2024,66901.5,11.110976667389625,23.25954661118846,11.11042814685063,66864.8132158076,0.0005485205389952341
2024-05-18,2024,67016.5,11.112694136710672,23.25954661118846,11.11042814685063,66864.8132158076,0.002265989860042339
2024-05-19,2024,66389.5,11.103294190430137,23.25954661118846,11.11042814685063,66864.8132158076,-0.0071339564204926376
2024-05-20,2024,69687.5,11.151776240636575,23.27814931841816,11.1364306029316,68626.26436686651,0.01534563770497499
2024-05-21,2024,70103.0,11.157720868112664,23.301624881317863,11.13194007997485,68318.7874340877,0.025780788137813815
